raw_row_number,date,time,location,lat,lng,beat,subject_age,subject_race,subject_sex,officer_assignment,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,search_conducted,search_basis,reason_for_stop,use_of_force_description,raw_subject_sdrace,raw_subject_resultofencounter,raw_subject_searchconducted,raw_subject_typeofsearch,raw_subject_resultofsearch
17213,NA,01:33:00,E. 28th St. & Park BLVD,37.803084000000005,-122.2372469,NA,NA,asian/pacific islander,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,A,"Citation,",No,NA,NA
17214,NA,14:48:00,1759 SEMINARY AV,37.7675677,-122.19682040000002,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Probation/Parole,NA,B,"FI Report,",Yes,"Prob./Parole,",NA
1,2013-04-01,00:00:00,31st St And Mlk Jr Way,37.820598499999996,-122.27073429999999,NA,NA,white,male,NA,vehicular,FALSE,FALSE,TRUE,warning,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,W,"Warning,",Yes,"Prob./Parole,",NA
2,2013-04-01,00:01:00,3000 Block Of San Pablo Ave,37.8212456,-122.2764876,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
19,2013-04-01,10:41:00,12th St/Broadway,37.802937299999996,-122.2717384,NA,NA,hispanic,female,NA,NA,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Probable Cause,NA,H,"Citation,",No,NA,NA
20,2013-04-01,14:18:00,2100 WEST ST,37.8121989,-122.27638789999999,NA,NA,white,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,W,"FI Report,",No,NA,NA
4,2013-04-01,00:15:00,2200 Blk Of Magnolia St,37.8157596,-122.2850803,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,B,"Citation,",Yes,"Inventory,",NA
21,2013-04-01,15:32:00,300 Blk Hegenberger Rd,37.73451,-122.19717,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
22,2013-04-01,15:55:00,73R D AV&INTERNATIONAL BLVD,37.759561,-122.186857,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
23,2013-04-01,16:37:00,200 Blk W.MACARTHUR BLVD,37.8229491,-122.25576629999999,NA,NA,black,female,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,B,"FI Report,",Yes,"Weapons,",NA
24,c,37.7547161,-122.18650020000001,NA,NA,hispanic,female,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Warning,",No,NA,NA
25,2013-04-01,17:00:00,1400 80TH AV,37.7566469,-122.18160549999999,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
26,2013-04-01,18:59:00,30TH ST&MARTIN LUTHER KING JR WY,37.8196593,-122.2709728,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Probable Cause,NA,B,"FI Report,",No,NA,NA
27,2013-04-01,20:04:00,1000 73RD AV,37.7556862,-122.192187,NA,NA,hispanic,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Citation,",No,NA,NA
28,2013-04-01,20:52:00,700 Blk Of Center St,37.8053853,-122.29491270000001,NA,NA,white,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,W,"FI Report,",Yes,"Prob./Parole,",NA
29,2013-04-01,21:10:00,300 GRAND AV,37.8093223,-122.25683670000001,NA,NA,white,female,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,W,"Warning,",No,NA,NA
30,2013-04-01,21:19:00,707 39TH ST,37.8289385,-122.2703291,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,B,"FI Report,",No,NA,NA
31,2013-04-01,22:00:00,7700 INTERNATIONAL BLVD,37.758070700000005,-122.18411699999999,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
32,2013-04-01,22:25:00,2100 INTERNATIONAL BLVD,37.785270000000004,-122.2385479,NA,NA,asian/pacific islander,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,A,"Citation,",No,NA,NA
33,2013-04-01,22:49:00,Market St. And Mead Ave.,37.81585889999999,-122.27816029999998,NA,NA,hispanic,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Citation,",No,NA,NA
34,2013-04-01,23:22:00,2100 Blk E 12th St,37.784381700000004,-122.23967820000001,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
35,2013-04-01,23:31:00,3200 Blk Of Market St,37.8224084,-122.2759998,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
36,2013-04-01,23:41:00,800 23RD St,37.7994864,-122.24299740000002,NA,NA,black,female,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Consensual Encounter,NA,B,"Misdemeanor Arrest,",Yes,"Incident to Arrest,",NA
37,2013-04-01,23:41:00,800 23RD St,37.7994864,-122.24299740000002,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Consensual Encounter,NA,B,"FI Report,",No,NA,NA
7,2013-04-01,02:35:00,37th Street And MLK Jr. Way,37.8263095,-122.26929740000001,NA,NA,black,female,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
8,2013-04-01,02:51:00,2700 Blk Of San Pablo Av,37.8180502,-122.27524709999999,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,B,"FI Report,",Yes,"Prob./Parole,",NA
3,2013-04-01,00:03:00,2700 Blk INTERNATIONAL BLVD,37.780883700000004,-122.23113219999999,NA,NA,black,female,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,B,"FI Report,",No,NA,NA
5,2013-04-01,00:31:00,West Grand Ave And West Street,37.8134529,-122.2758355,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
9,2013-04-01,03:33:00,HOWE ST&W MACARTHUR BLVD,37.8239007,-122.2573618,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
6,2013-04-01,00:34:00,900blk 35th St,37.8256632,-122.2755618,NA,NA,black,male,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Warning,",No,NA,NA
10,2013-04-01,06:24:00,1844 INTERNATIONAL BLVD,37.7867811,-122.241171,NA,NA,hispanic,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,H,"FI Report,",Yes,"Weapons,",NA
11,2013-04-01,07:56:00,WEST GRAND AVE & MANDELA PKWY,37.816688899999995,-122.2891909,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
