Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
46763477,07/06/2020 12:00:02 AM,07/06/2020 12:33:32 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11224,2975 WEST   33 STREET,WEST   33 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,,BROOKLYN,WEST   33 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:33:33 AM,13 BROOKLYN,3070480015,BROOKLYN,984474,148060,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.573066457463426,-73.99919368993085,"(40.573066457463426, -73.99919368993085)"
46762296,07/06/2020 12:00:02 AM,07/06/2020 12:09:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11215,683 5 AVENUE,5 AVENUE,20 STREET,21 STREET,20 STREET,21 STREET,,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:09:37 AM,07 BROOKLYN,3008910005,BROOKLYN,986144,180307,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66157757574379,-73.99317331427915,"(40.66157757574379, -73.99317331427915)"
46761287,07/06/2020 12:00:13 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,11372,83-17 NORTHERN BOULEVARD,NORTHERN BOULEVARD,83 STREET,84 STREET,83 STREET,84 STREET,,JACKSON HEIGHTS,NORTHERN BOULEVARD,,In Progress,,,,03 QUEENS,4014130036,QUEENS,1016334,214617,PHONE,Unspecified,QUEENS,,,,,,,,40.75569238413283,-73.88419381828966,"(40.75569238413283, -73.88419381828966)"
46760135,07/06/2020 12:00:14 AM,07/06/2020 12:24:35 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10459,941 HOE AVENUE,HOE AVENUE,EAST  163 STREET,ALDUS STREET,EAST  163 STREET,ALDUS STREET,,BRONX,HOE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:24:37 AM,02 BRONX,2027427501,BRONX,1014605,238750,PHONE,Unspecified,BRONX,,,,,,,,40.82193704510607,-73.89032552130838,"(40.82193704510607, -73.89032552130838)"
46763376,07/06/2020 12:00:19 AM,07/06/2020 01:13:24 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11378,59-30 56 ROAD,56 ROAD,59 PLACE,60 STREET,59 PLACE,60 STREET,,MASPETH,56 ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:13:29 AM,05 QUEENS,4026900029,QUEENS,1009833,203287,ONLINE,Unspecified,QUEENS,,,,,,,,40.72461556697471,-73.9077020421036,"(40.72461556697471, -73.9077020421036)"
46761803,07/06/2020 12:00:23 AM,07/06/2020 12:16:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,104 STREET,104 STREET,104 STREET,LIBERTY AVENUE,104 STREET,LIBERTY AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:16:55 AM,10 QUEENS,,QUEENS,1029466,187785,ONLINE,Unspecified,QUEENS,,,,,,,,40.68198772538849,-73.83697461783957,"(40.68198772538849, -73.83697461783957)"
46764330,07/06/2020 12:00:26 AM,07/06/2020 12:14:21 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11416,84-03 102 ROAD,102 ROAD,84 STREET,86 STREET,84 STREET,86 STREET,,OZONE PARK,102 ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:14:22 AM,09 QUEENS,,QUEENS,1024620,187184,MOBILE,Unspecified,QUEENS,,,,,,,,40.68036154720001,-73.85445034012706,"(40.68036154720001, -73.85445034012706)"
46762955,07/06/2020 12:00:31 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46755560,07/06/2020 12:00:38 AM,07/06/2020 12:26:19 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,,NEW YORK,5 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:26:23 AM,64 MANHATTAN,1011110001,MANHATTAN,994623,222956,ONLINE,Central Park,MANHATTAN,,,,,,,,40.77863290127972,-73.96254609596876,"(40.77863290127972, -73.96254609596876)"
46768324,07/06/2020 12:00:39 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10466,BRONX BOULEVARD,BRONX BOULEVARD,BRONX BOULEVARD,EAST  229 STREET,BRONX BOULEVARD,EAST  229 STREET,,,,,In Progress,,,,12 BRONX,,BRONX,1022200,264229,PHONE,Unspecified,BRONX,,,,,,,,40.89183982213997,-73.86274011210642,"(40.89183982213997, -73.86274011210642)"
